Model,RMSE,MAE,DeltaR
LWR,16.578835907955504,15.518977470768242,15.518977470768242
LR,0.9441990494891166,0.7326008576839274,0.7326008576839274
DT,0.5677293504706425,0.370676484862928,0.370676484862928
RF,0.5149972347761249,0.33056411063259356,0.33056411063259356
ET,0.5144832671295949,0.3297809009340945,0.3297809009340945
AB,0.5677293504706425,0.37067648486292804,0.37067648486292804
MLP,0.6842326703896765,0.5197178360057059,0.5197178360057059
BR,0.9957237449176963,0.7591191749909862,0.7591191749909862
XGB,0.1014683784185615,0.06561058155835843,0.06561058155835843
ASE,0.06783738836470377,0.04816584412297902,0.04816584412297902
